id,number,color,rank,3,tank_id,tank_name,tourney_id
130,6,purple,captain,,555,Vapor,6
131,7,orange,captain,,1687,--EvadE--,6
132,8,purple,captain,,760,Thundercracker,6
133,9,purple,lieutenant,,504,Homer J Simpson,6
134,10,orange,lieutenant,,1690,Happy Little Elves,6
135,11,purple,lieutenant,,1268,Ned Flanders,6
136,12,purple,lieutenant,,1035,Marge Simpson,6
137,13,purple,lieutenant,,1601,AuStRaLiA,6
138,14,purple,lieutenant,,1583,LegionzS-2,6
139,15,red,lieutenant,,931,BRAVERY,6
140,16,orange,lieutenant,,1530,- Neon -,6
141,17,orange,lieutenant,,1542,- Xenon -,6
142,18,purple,lieutenant,,722,PeNnYwIsE,6
143,19,red,lieutenant,,1062,Omega Red X,6
144,20,blue,lieutenant,,749,Megatron,6
145,21,red,lieutenant,,1688,Flux,6
146,22,purple,lieutenant,,1343,xXxBIGBADDOGxXx,6
147,23,purple,sergeant,,1677,Islam Brings Peace,6
148,24,red,corporal,,1,red-1,6
149,25,red,corporal,,2,red-2,6
150,1,orange,captain,,657,- Dubnium -,7
151,2,red,captain,,660,--Divinity--,7
152,3,purple,captain,,746,Optimus Prime,7
153,4,orange,captain,,1213,KiLLer N,7
154,5,blue,lieutenant,,1858,Hope Solo,7
155,6,orange,lieutenant,,1470,wenn doch nur,7
156,7,purple,lieutenant,,1797,KoBe Bryant,7
157,8,purple,lieutenant,,1677,Islam Brings Peace,7
158,9,purple,lieutenant,,1860,example,7
159,10,blue,lieutenant,,1863,Tugg Boat,7
160,11,purple,lieutenant,,505,Krusty The Clown,7
161,12,orange,lieutenant,,558,- Titanium -,7
162,13,orange,lieutenant,,1300,MakE IT NastY,7
163,14,orange,lieutenant,,1499,KohNoLogY,7
164,15,orange,lieutenant,,1784,A-L-R,7
165,16,purple,lieutenant,,1862,tip a cow,7
166,17,blue,lieutenant,,1864,Alonius,7
167,18,red,lieutenant,,912,Tasha,7
168,19,orange,lieutenant,,524,- Gold -,7
169,20,purple,sergeant,,1774,antdoggg,7
170,21,purple,sergeant,,1175,Sludge,7
171,22,blue,corporal,,548,canadianguy,7
172,23,red,corporal,,1062,Omega Red X,7
173,24,purple,corporal,,1710,Strider,7
174,25,purple,corporal,,1745,GatoR,7
175,1,blue,major,,1858,Hope Solo,8
176,2,purple,major,,1613,LeBron James,8
177,3,purple,major,,825,Rampage,8
178,4,red,major,,529,ASSAULT,8
179,5,red,major,,1752,HOPE,8
180,6,purple,major,,1712,Professor Frink,8
181,7,purple,major,,1845,Mastersword,8
182,8,purple,captain,,806,Devastator,8
183,9,purple,captain,,505,Krusty The Clown,8
184,10,orange,captain,,1643,ION DISSONANCE,8
185,11,orange,captain,,501,Eva is Back,8
186,12,orange,captain,,1924,INTERTOUCHDWNCEPTION,8
187,13,orange,captain,,580,- Iodine -,8
188,14,red,captain,,1677,Islam Brings Peace,8
189,15,purple,lieutenant,,1860,example,8
190,16,orange,lieutenant,,575,- Mercury -,8
191,17,blue,lieutenant,,1867,Soundwave,8
192,18,orange,lieutenant,,1907,Krux,8
193,19,purple,lieutenant,,523,PRIDE,8
194,20,orange,lieutenant,,1276,a Chalk Line,8
195,21,orange,lieutenant,,1797,KoBe Bryant,8
196,22,blue,lieutenant,,1455,B man99,8
197,23,orange,lieutenant,,1499,KohNoLogY,8
198,24,orange,lieutenant,,1849,Boner Party,8
199,25,blue,lieutenant,,1926,silverisagooddeal,8
200,1,orange,major,,1470,wenn doch nur,9
201,2,purple,captain,,505,Krusty The Clown,9
202,3,purple,captain,,606,R E C K A N i Z E,9
203,4,orange,captain,,2034,blurr,9
204,5,red,captain,,1752,HOPE,9
205,6,purple,captain,,1884,The Revelation,9
206,7,purple,captain,,825,Rampage,9
207,8,blue,captain,,931,BRAVERY,9
208,9,orange,captain,,1888,Tanker,9
209,10,orange,captain,,1998,XxOzzy09xX,9
210,11,purple,captain,,647,cdub,9
211,12,purple,captain,,1677,Islam Brings Peace,9
212,13,purple,captain,,1774,antdoggg,9
213,14,red,captain,,1643,ION DISSONANCE,9
214,15,purple,captain,,1845,Mastersword,9
215,16,purple,captain,,1889,Bart Simpson,9
216,17,orange,lieutenant,,1937,Eudaimonia,9
217,18,purple,lieutenant,,504,Homer J Simpson,9
218,19,blue,lieutenant,,658,Minion,9
219,20,orange,lieutenant,,523,PRIDE,9
220,21,red,lieutenant,,2054,Ninjabread Man,9
221,22,purple,lieutenant,,2033,PURPLE KUSH,9
222,23,blue,lieutenant,,1455,B man99,9
223,24,orange,lieutenant,,1193,-iLL sKiLLz-,9
224,25,orange,lieutenant,,1601,AuStRaLiA,9
225,1,blue,captain,,1455,B man99,10
226,2,red,captain,,1029,PITBULL,10
227,3,purple,captain,,2173,Lone Wolf,10
228,4,purple,captain,,1895,Raise the Fallen,10
229,5,orange,captain,,1643,ION DISSONANCE,10
230,6,purple,captain,,504,Homer J Simpson,10
231,7,blue,captain,,555,Vapor,10
232,8,purple,captain,,2175,Vertigo,10
233,9,orange,captain,,575,- Mercury -,10
234,10,purple,captain,,1171,Future Sequence,10
235,11,orange,captain,,1529,- Arsenic -,10
236,12,blue,captain,,1478,DaDestroyer,10
237,13,purple,lieutenant,,505,Krusty The Clown,10
238,14,blue,lieutenant,,2171,Alioune,10
239,15,red,lieutenant,,741,Shockwave,10
240,16,purple,lieutenant,,1937,Eudaimonia,10
241,17,orange,lieutenant,,2034,blurr,10
242,18,red,lieutenant,,523,PRIDE,10
243,19,purple,lieutenant,,1890,Waylon Smithers,10
244,20,blue,lieutenant,,1867,Soundwave,10
245,21,purple,lieutenant,,1712,Professor Frink,10
246,22,red,lieutenant,,1062,Omega Red X,10
247,23,purple,lieutenant,,2009,Rottweiler,10
248,24,blue,lieutenant,,760,Thundercracker,10
249,25,orange,lieutenant,,1542,- Xenon -,10
250,1,orange,captain,,2184,People People,11
251,2,blue,captain,,2173,Lone Wolf,11
252,3,red,captain,,931,BRAVERY,11
253,4,purple,captain,,2187,cr0wnz,11
254,5,purple,captain,,504,Homer J Simpson,11
255,6,blue,captain,,806,Devastator,11
256,7,blue,captain,,2096,ANGEL OF DEATH,11
257,8,blue,captain,,1867,Soundwave,11
258,9,orange,captain,,1643,ION DISSONANCE,11
259,10,purple,captain,,1774,antdoggg,11
260,11,orange,captain,,1529,- Arsenic -,11
261,12,blue,captain,,760,Thundercracker,11
262,13,orange,captain,,2009,Rottweiler,11
263,14,red,lieutenant,,2100,SPIRIT,11
264,15,purple,lieutenant,,1268,Ned Flanders,11
265,16,orange,lieutenant,,523,PRIDE,11
266,17,orange,lieutenant,,580,- Iodine -,11
267,18,orange,lieutenant,,2034,blurr,11
268,19,purple,lieutenant,,1712,Professor Frink,11
269,20,orange,lieutenant,,1937,Eudaimonia,11
270,21,blue,lieutenant,,1677,Islam Brings Peace,11
271,22,orange,lieutenant,,2183,---ObZeN---,11
272,23,purple,lieutenant,,1471,SGT SLAUGHTER,11
273,24,blue,lieutenant,,555,Vapor,11
274,25,red,lieutenant,,630,TW,11
275,1,red,captain,,642,ELEGANCE,12
276,2,orange,captain,,825,Rampage,12
277,3,red,captain,,523,PRIDE,12
278,4,orange,captain,,760,Thundercracker,12
279,5,orange,captain,,746,Optimus Prime,12
280,6,blue,captain,,2145,- Ununoctium -,12
281,7,blue,captain,,1084,987,12
282,8,purple,captain,,505,Krusty The Clown,12
283,9,red,captain,,1884,The Revelation,12
284,10,orange,captain,,1529,- Arsenic -,12
285,11,orange,captain,,1867,Soundwave,12
286,12,purple,lieutenant,,2033,PURPLE KUSH,12
287,13,purple,lieutenant,,1797,KoBe Bryant,12
288,14,red,lieutenant,,2352,Frosty The Snowman,12
289,15,purple,lieutenant,,2073,ONE WINGED ANGEL,12
290,16,purple,lieutenant,,1066,FeaR mE,12
291,17,orange,lieutenant,,1937,Eudaimonia,12
292,18,blue,lieutenant,,1213,KiLLer N,12
293,19,orange,lieutenant,,2022,ArChAnGeL,12
294,20,red,sergeant,,2279,Marlinpie,12
295,21,blue,sergeant,,1412,The D,12
296,22,red,sergeant,,830,MoVe Lik Da WinD,12
297,23,purple,sergeant,,2331,LongHairedHippie,12
298,24,blue,sergeant,,658,Minion,12
299,25,red,sergeant,,1597,GLORY,12
300,1,blue,captain,,2421,who am i,13
301,2,purple,captain,,1797,KoBe Bryant,13
302,3,orange,captain,,2033,PURPLE KUSH,13
303,4,red,captain,,2257,flashed,13
304,5,orange,captain,,1175,Sludge,13
305,6,purple,captain,,2073,ONE WINGED ANGEL,13
306,7,red,lieutenant,,2054,Ninjabread Man,13
307,8,purple,lieutenant,,2422,The Byzantine Empire,13
308,9,red,lieutenant,,1864,Alonius,13
309,10,purple,lieutenant,,504,Homer J Simpson,13
310,11,orange,lieutenant,,1867,Soundwave,13
311,12,purple,lieutenant,,1066,FeaR mE,13
312,13,orange,lieutenant,,760,Thundercracker,13
313,14,blue,lieutenant,,1677,Islam Brings Peace,13
314,15,orange,lieutenant,,2058,- Zirconium -,13
315,16,blue,lieutenant,,2224,Night Sky,13
316,17,blue,lieutenant,,2174,MinioN,13
317,18,orange,lieutenant,,580,- Iodine -,13
318,19,blue,lieutenant,,2145,- Ununoctium -,13
319,20,orange,sergeant,,968,Grimlock,13
320,21,purple,sergeant,,2187,cr0wnz,13
321,22,red,sergeant,,2024,Saint Micheal,13
322,23,orange,sergeant,,2132,caterpillar,13
323,24,red,sergeant,,1062,Omega Red X,13
324,25,purple,sergeant,,2424,nyx,13
325,1,red,colonel,,2510,perfect10n-1,14
326,2,purple,major,,504,Homer J Simpson,14
327,3,purple,major,,505,Krusty The Clown,14
328,4,purple,major,,2507,-KLEENEX-,14
329,5,orange,major,,1123,rainfall,14
330,6,red,major,,2511,CMOS,14
331,7,red,major,,2509,HUMILITY,14
332,8,orange,major,,760,Thundercracker,14
333,9,orange,major,,1529,- Arsenic -,14
334,10,orange,captain,,1888,Tanker,14
335,11,purple,captain,,1712,Professor Frink,14
336,12,orange,captain,,2073,ONE WINGED ANGEL,14
337,13,purple,captain,,1066,FeaR mE,14
338,14,orange,captain,,968,Grimlock,14
339,15,purple,captain,,1377,KONViCT,14
340,16,purple,captain,,1422,Groundskeeper Willie,14
341,17,purple,captain,,2410,Scratchy,14
342,18,purple,captain,,1827,in2ition,14
343,19,orange,lieutenant,,1431,oNe HuNDreD yeAr olD,14
344,20,blue,lieutenant,,2504,- - FaZzEr - -,14
345,21,red,lieutenant,,1062,Omega Red X,14
346,22,red,lieutenant,,1884,The Revelation,14
347,23,purple,lieutenant,,2505,Garbage MAN,14
348,24,red,lieutenant,,547,heathen,14
349,25,red,lieutenant,,1514,ZEMA,14
350,1,red,major,,523,PRIDE,15
351,2,purple,captain,,2561,SysteM OF ThE GravE,15
352,3,red,captain,,2257,flashed,15
353,4,blue,captain,,934,UNFORGIVABLE,15
354,5,purple,captain,,2187,cr0wnz,15
355,6,orange,captain,,1529,- Arsenic -,15
356,7,red,captain,,2024,Saint Micheal,15
357,8,purple,captain,,2537,VaRi0uS,15
358,9,orange,captain,,575,- Mercury -,15
359,10,red,lieutenant,,1337,Rose,15
360,11,purple,lieutenant,,505,Krusty The Clown,15
361,12,red,lieutenant,,1597,GLORY,15
362,13,purple,lieutenant,,504,Homer J Simpson,15
363,14,purple,lieutenant,,1422,Groundskeeper Willie,15
364,15,red,lieutenant,,1694,Marcadia Palace,15
365,16,orange,lieutenant,,2562,--xChicken Nugget,15
366,17,purple,lieutenant,,1123,rainfall,15
367,18,orange,lieutenant,,1867,Soundwave,15
368,19,red,lieutenant,,1884,The Revelation,15
369,20,orange,lieutenant,,2073,ONE WINGED ANGEL,15
370,21,red,lieutenant,,509,Warrior,15
371,22,blue,lieutenant,,2174,MinioN,15
372,23,orange,lieutenant,,2563,Islam Brings Peace 2,15
373,24,red,lieutenant,,1514,ZEMA,15
374,25,red,lieutenant,,1062,Omega Red X,15
375,1,red,colonel,,2725,F-105 Avro Arrow,16
376,2,red,colonel,,1337,Rose,16
377,3,purple,colonel,,2723,Yankeefan,16
378,4,blue,colonel,,746,Optimus Prime,16
379,5,purple,major,,1884,The Revelation,16
380,6,orange,major,,760,Thundercracker,16
381,7,red,major,,2625,-iG- Johnny-,16
382,8,red,captain,,2542,-iG-SeNsaTi0nZ-,16
383,9,red,captain,,2418,exemplar,16
384,10,red,captain,,1514,ZEMA,16
385,11,red,captain,,2080,Kaiju,16
386,12,red,captain,,547,heathen,16
387,13,purple,captain,,934,UNFORGIVABLE,16
388,14,purple,captain,,1712,Professor Frink,16
389,15,red,captain,,1062,Omega Red X,16
390,16,purple,lieutenant,,504,Homer J Simpson,16
391,17,red,lieutenant,,2624,-iG-SpAwN-,16
392,18,orange,lieutenant,,580,- Iodine -,16
393,19,red,lieutenant,,2726,SHINE,16
394,20,orange,lieutenant,,2727,winter,16
395,21,purple,lieutenant,,1530,- Neon -,16
396,22,purple,lieutenant,,1066,FeaR mE,16
397,23,orange,lieutenant,,1258,- Iron -,16
