id,tourney_id,map,start_time,duration
117,118,Rocks and Swamp,2013-07-31 18:00:00,1.0
118,119,Crazy Maze,2013-08-03 00:00:00,1.0
119,120,Appaloosa Land,2013-08-03 20:00:00,1.0
120,122,Castles,2013-08-08 21:00:00,1.0
121,123,Desert,2013-08-09 21:00:00,1.0
122,124,Iceland,2013-08-12 02:00:00,1.0
123,125,Deep Six,2013-08-13 18:00:00,1.0
124,127,Metropolis,2013-08-17 20:00:00,1.0
125,128,Levels,2013-08-18 17:00:00,2.0
126,129,Desert,2013-08-22 15:00:00,1.0
127,130,Atlantis,2013-08-23 22:00:00,2.0
128,131,The Nile,2013-08-25 00:00:00,1.0
129,132,Aquarium,2013-08-27 16:00:00,1.0
130,133,The Pit,2013-08-31 13:00:00,1.0
131,134,Elements,2013-09-01 13:00:00,1.0
132,135,Rocks and Swamp,2013-09-02 18:00:00,1.0
133,136,Crazy Maze,2013-09-06 00:00:00,1.0
134,137,Appaloosa Land,2013-09-07 15:00:00,1.0
135,138,Castles,2013-09-08 19:00:00,2.0
136,139,Desert,2013-09-11 00:00:00,1.0
137,140,Iceland,2013-09-14 13:00:00,2.0
138,141,Deep Six,2013-09-15 19:00:00,1.0
139,142,Levels,2013-09-16 23:00:00,1.0
140,143,Metropolis,2013-09-21 19:00:00,1.0
141,144,The Nile,2013-09-22 08:00:00,1.0
142,146,The Pit,2013-09-28 11:00:00,2.0
143,147,Aquarium,2013-09-28 19:00:00,1.0
144,148,Tron,2013-09-29 11:00:00,1.0
145,149,Badlands,2013-09-30 21:00:00,1.0
146,150,Elements,2013-10-04 20:00:00,2.0
147,151,Foundry,2013-10-06 13:00:00,1.0
148,152,Orbital,2013-10-08 00:00:00,1.0
149,153,Rocks and Swamp,2013-10-12 19:00:00,1.0
150,154,Crazy Maze,2013-10-13 18:00:00,1.0
151,155,Castles,2013-10-19 13:00:00,1.0
152,156,Desert,2013-10-20 03:00:00,2.0
153,159,Iceland,2013-10-23 20:00:00,1.0
154,160,Appaloosa Land,2013-10-24 19:00:00,1.0
155,161,Deep Six,2013-10-26 18:00:00,1.0
156,162,Levels,2013-10-26 20:00:00,1.0
157,163,Metropolis,2013-10-29 19:00:00,1.0
158,164,Desert,2013-11-01 01:00:00,1.0
159,165,Crazy Waters,2013-11-02 04:00:00,1.0
160,166,The Nile,2013-11-03 02:00:00,1.0
161,167,Aquarium,2013-11-05 14:00:00,1.0
162,168,The Pit,2013-11-09 08:00:00,1.0
163,169,Tron,2013-11-10 15:00:00,1.0
164,170,Elements,2013-11-13 16:00:00,1.0
165,171,Foundry,2013-11-16 02:00:00,1.0
166,172,Orbital,2013-11-17 19:00:00,1.0
167,173,Rocks and Swamp,2013-11-18 22:00:00,1.0
168,174,Crazy Maze,2013-11-23 15:00:00,1.0
169,175,Appaloosa Land,2013-11-24 08:00:00,1.0
170,176,Castles,2013-11-28 00:00:00,1.0
171,178,Rocks and Swamp,2013-11-28 20:00:00,1.0
172,179,Elements,2013-11-29 23:00:00,1.0
173,180,Desert,2013-11-30 19:00:00,1.0
174,181,Iceland,2013-12-04 14:00:00,1.0
175,182,Deep Six,2013-12-07 14:00:00,1.0
176,183,Levels,2013-12-08 16:00:00,1.0
177,184,Metropolis,2013-12-12 00:00:00,1.0
178,185,Crazy Waters,2013-12-14 05:00:00,1.0
179,186,The Nile,2013-12-15 08:00:00,1.0
180,187,Rocks and Swamp,2013-12-15 18:00:00,1.0
181,188,Aquarium,2013-12-17 15:00:00,1.0
182,189,The Pit,2013-12-21 11:00:00,1.0
183,190,Tron,2013-12-22 22:00:00,1.0
184,191,Desert,2013-12-25 00:00:00,1.0
185,192,Elements,2013-12-25 03:00:00,1.0
186,193,Rocks and Swamp,2013-12-25 14:00:00,1.0
187,194,Desert,2013-12-25 20:00:00,1.0
188,195,Badlands,2013-12-25 22:00:00,1.0
189,196,Elements,2013-12-26 16:00:00,1.0
190,197,Crazy Maze,2013-12-27 23:00:00,1.0
191,198,Foundry,2013-12-28 04:00:00,1.0
192,199,Orbital,2013-12-29 18:00:00,1.0
193,200,Rocks and Swamp,2013-12-31 19:00:00,1.0
194,201,Desert,2014-01-01 03:00:00,1.0
195,202,Crazy Maze,2014-01-01 15:00:00,1.0
196,203,Elements,2014-01-03 18:00:00,1.0
197,204,Appaloosa Land,2014-01-04 18:00:00,1.0
198,205,Castles,2014-01-05 13:00:00,1.0
199,206,Rocks and Swamp,2014-01-05 23:00:00,2.0
200,207,Desert,2014-01-07 21:00:00,1.0
201,208,Iceland,2014-01-11 16:00:00,1.0
202,209,Deep Six,2014-01-12 15:00:00,1.0
203,210,Levels,2014-01-15 20:00:00,1.0
204,211,Metropolis,2014-01-18 10:00:00,1.0
205,212,Crazy Waters,2014-01-19 04:00:00,1.0
206,213,Rocks and Swamp,2014-01-19 17:00:00,1.0
207,214,The Nile,2014-01-21 18:00:00,1.0
208,215,Aquarium,2014-01-25 19:00:00,1.0
209,216,The Pit,2014-01-26 14:00:00,1.0
210,217,Desert,2014-01-27 02:00:00,1.0
211,218,Tron,2014-01-28 16:00:00,1.0
212,219,Elements,2014-01-31 21:00:00,1.0
213,220,The Pit,2014-02-02 01:00:00,1.0
214,221,Foundry,2014-02-02 11:00:00,1.0
215,222,Orbital,2014-02-03 20:00:00,1.0
216,223,Rocks and Swamp,2014-02-08 09:00:00,1.0
217,224,Crazy Maze,2014-02-09 15:00:00,1.0
218,225,Appaloosa Land,2014-02-11 19:00:00,1.0
219,226,Elements,2014-02-13 19:00:00,1.0
220,227,Castles,2014-02-16 00:00:00,1.0
221,228,Desert,2014-02-16 17:00:00,1.0
222,229,Desert,2014-02-17 15:00:00,1.0
223,230,Iceland,2014-02-19 17:00:00,1.0
224,231,Deep Six,2014-02-21 23:00:00,1.0
225,232,Levels,2014-02-22 22:00:00,1.0
226,233,Rocks and Swamp,2014-02-23 21:00:00,1.0
227,234,Metropolis,2014-02-27 18:00:00,1.0
228,235,Crazy Waters,2014-03-01 17:00:00,1.0
229,236,The Nile,2014-03-01 21:00:00,1.0
230,237,Iceland,2014-03-02 23:00:00,1.0
231,238,Aquarium,2014-03-04 20:00:00,1.0
232,239,Desert,2014-03-08 04:00:00,1.0
233,240,The Pit,2014-03-08 16:00:00,1.0
234,241,Tron,2014-03-09 18:00:00,1.0
235,242,Elements,2014-03-12 22:00:00,1.0
236,243,Foundry,2014-03-15 14:00:00,1.0
237,244,Orbital,2014-03-16 02:00:00,1.0
238,245,Desert,2014-03-16 16:00:00,1.5
239,246,Rocks and Swamp,2014-03-20 18:00:00,1.0
240,247,Crazy Maze,2014-03-22 01:00:00,1.0
241,248,Appaloosa Land,2014-03-23 03:00:00,1.0
242,249,Castles,2014-03-25 21:00:00,1.0
243,250,Desert,2014-03-28 22:00:00,1.0
244,251,Iceland,2014-03-30 19:00:00,1.0
245,252,Deep Six,2014-04-02 17:00:00,1.0
246,253,Levels,2014-04-04 20:00:00,1.0
247,254,Rocks and Swamp,2014-04-05 16:00:00,1.5
248,255,Metropolis,2014-04-06 03:00:00,1.0
249,256,Crazy Waters,2014-04-10 19:00:00,1.0
250,257,The Nile,2014-04-12 19:00:00,1.0
251,258,Aquarium,2014-04-13 15:00:00,1.0
252,259,The Pit,2014-04-15 21:00:00,1.0
253,260,Tron,2014-04-19 09:00:00,1.0
254,261,Elements,2014-04-20 06:00:00,1.0
255,262,Foundry,2014-04-22 18:00:00,1.0
256,263,Orbital,2014-04-25 23:00:00,1.0
257,264,Rocks and Swamp,2014-04-27 18:00:00,1.0
258,265,Crazy Maze,2014-04-30 02:00:00,1.0
259,266,Appaloosa Land,2014-05-03 18:00:00,1.0
260,267,Castles,2014-05-04 17:00:00,1.0
261,268,Desert,2014-05-07 17:00:00,1.0
262,269,Iceland,2014-05-10 14:00:00,1.0
263,270,Deep Six,2014-05-11 19:00:00,1.0
264,271,Levels,2014-05-15 19:00:00,1.0
265,272,Metropolis,2014-05-17 15:00:00,1.0
266,273,Crazy Waters,2014-05-18 01:00:00,1.0
267,274,The Nile,2014-05-19 21:00:00,1.0
268,275,Aquarium,2014-05-24 09:00:00,1.0
269,276,The Pit,2014-05-25 04:00:00,1.0
270,277,Tron,2014-05-29 15:00:00,1.0
271,278,Elements,2014-05-31 01:00:00,1.0
272,279,Desert,2014-05-31 22:00:00,1.0
273,280,Elements,2014-06-02 21:00:00,1.0
274,281,Foundry,2014-06-07 17:00:00,1.0
275,282,Orbital,2014-06-08 03:00:00,1.5
276,283,Rocks and Swamp,2014-06-11 20:00:00,1.0
277,284,Crazy Maze,2014-06-14 18:00:00,1.0
278,285,Appaloosa Land,2014-06-15 16:00:00,1.0
279,286,Castles,2014-06-16 22:00:00,1.0
280,287,Desert,2014-06-21 13:00:00,1.0
281,288,Iceland,2014-06-22 15:00:00,2.0
282,289,Deep Six,2014-06-25 17:00:00,1.0
283,290,Levels,2014-06-27 23:00:00,1.0
284,291,Metropolis,2014-06-29 00:00:00,2.0
285,292,Crazy Waters,2014-07-01 17:00:00,1.0
286,293,The Nile,2014-07-05 00:00:00,1.0
287,294,Aquarium,2014-07-05 22:00:00,1.0
288,295,The Pit,2014-07-08 18:00:00,1.0
289,296,Tron,2014-07-11 20:00:00,2.0
290,297,Elements,2014-07-13 17:00:00,1.0
291,298,Foundry,2014-07-16 20:00:00,1.0
292,299,Orbital,2014-07-19 19:00:00,1.0
293,300,Rocks and Swamp,2014-07-20 02:00:00,1.0
294,301,Crazy Maze,2014-07-22 23:00:00,1.0
295,302,Appaloosa Land,2014-07-26 18:00:00,1.0
296,303,Castles,2014-07-27 15:00:00,1.0
297,304,Desert,2014-07-31 01:00:00,1.0
298,305,Iceland,2014-08-02 10:00:00,1.0
299,306,Deep Six,2014-08-02 23:00:00,1.0
